"Code","Description"
"BRED","Bread/Crumpets/Pancakes/Yorks Puds"
"BRED:BAGL","Bagels"
"BRED:BBRD","Bread: Wholemeal, Brown & Granary"
"BRED:BRDR","Bread Rolls"
"BRED:CRUM","Crumpets/Pikelets/Scotch Pancakes"
"BRED:FJTA","Fajita"
"BRED:FRDB","Fried bread"
"BRED:GBRD","Garlic Bread and Dough Balls"
"BRED:NNBR","Naan Bread"
"BRED:PTBR","Pitta Bread"
"BRED:TBBR","Toast, wholemeal /  brown / granary"
"BRED:TWBR","Toast, white and softgrain"
"BRED:WBRD","Bread, White & Softgrain"
"BRED:YPUD","???"
"",""
"BSCT","Biscuits/Crackers/Water Biscuits"
"BSCT:BCHS","Breadsticks and Cheese Sticks"
"BSCT:CHBB","Cheese Flavoured Biscuits"
"BSCT:CHCB","Chocolate Biscuits, coated in chocolate"
"BSCT:CHMM","Chocolate biscuit, with Marshmallow, coated in chocolate"
"BSCT:CHSB","Chocolate Sandwich Biscuits, coated in chocolate"
"BSCT:CKES","Cookies"
"BSCT:CRBS","Crunchy Biscuits"
"BSCT:CRKR","Crackers"
"BSCT:DGST","Digestive Type Biscuits"
"BSCT:FLPJ","Flapjacks"
"BSCT:FRTB","Fruit Biscuits"
"BSCT:ICCW","Ice-cream Wafer"
"BSCT:ICDB","Iced Biscuits"
"BSCT:JFFA","Jaffa Cakes"
"BSCT:SDWB","Sandwich Biscuits"
"BSCT:SHRT","Short sweet biscuits, e.g Shortcake biscuit, Lincoln"
"BSCT:SWBC","Semi Sweet Biscuits"
"BSCT:WFRB","Wafer Sandwich Biscuit, e.g.pink wafer biscuits"
"",""
"BTTR","Butter/Margarine/Fat Spreads"
"BTTR:BUTR","Butter"
"BTTR:MRGN","Soft Margarine & Fat Spreads"
"",""
"CAKE","Buns/Cakes/Pastries/Fruit Pies"
"CAKE:BUNS","Buns and Teacakes"
"CAKE:CHMR","Chocolate Mini Rolls"
"CAKE:CKRC","Chocolate Krispie Cakes"
"CAKE:CREM","Cream"
