"Code","Description"
"BRED:BAGL:FRUT","Fruit Bagels"
"BRED:BAGL:PLAI","Plain Bagels"
"BRED:BAGL:SAVY","Savoury Bagels"
"BRED:BBRD:BSLC","Brown bread"
"BRED:BBRD:CRNT","Currant bread"
"BRED:BBRD:FFTY","Bread, Best of Both, 50:50"
"BRED:BBRD:GSLC","Granary bread (with seeds or bits) sliced"
"BRED:BBRD:MALT","Malt Bread"
"BRED:BBRD:RYEB","Rye bread"
"BRED:BBRD:SODA","Soda Bread"
"BRED:BBRD:WHTG","Bread, hovis or wheatgerm"
"BRED:BBRD:WSLC","Bread, wholemeal"
"BRED:BRDR:CIAB","Ciabatta bread"
"BRED:BRDR:CRST","White crusty bread"
"BRED:BRDR:FREN","???"
"BRED:BRDR:HAMB","Hamburger bun (Bread bun with sesame seeds, no burger)"
"BRED:BRDR:SRLL","Bread roll, brown"
"BRED:BRDR:WHRL","Wholemeal bread roll"
"BRED:BRDR:WRLL","White Bread roll"
"BRED:CRUM:CRMP","Crumpets/ pikelets toasted"
"BRED:CRUM:MUFN","English style bread Muffins, white, toasted"
"BRED:CRUM:PANC","Scotch pancakes / Drop scones"
"BRED:FJTA:CHPF","Chapatis"
"BRED:FJTA:FJWH","White wrap / Fajita / Tortilla"
"BRED:FJTA:WLML","Wholemeal wrap/ Fajita/ Tortilla"
"BRED:FRDB:WBFD","Fried White bread"
"BRED:GBRD:DGHB","Dough balls"
"BRED:GBRD:GPIZ","Garlic/Herb bread, pizza"
"BRED:GBRD:GRLC","Garlic/Herb bread, french stick (baguette)"
"BRED:NNBR:GNNB","Garlic / flavoured naan bread"
"BRED:NNBR:PNNB","Plain naan bread"
"BRED:PTBR:BPTB","Brown / wholemeal pitta bread"
"BRED:PTBR:WPTB","White pitta bread"
"BRED:TBBR:BRWT","Toast, brown bread"
"BRED:TBBR:CRNT","Currant bread"
"BRED:TBBR:FFTY","Bread, Best of Both, 50:50"
"BRED:TBBR:GRNT","Toast, Granary Bread (with seeds or bits)"
"BRED:TBBR:WHLT","Toast, Wholemeal bread"
"BRED:TBBR:WHTT","Toast, Hovis or wheatgerm"
"BRED:TWBR:STST","Toast, soft grain bread, e.g. mighty white"
"BRED:TWBR:WTST","Toast, white bread"
"BRED:WBRD:SFTG","Softgrain e.g. mighty white"
"BRED:WBRD:SLCD","Bread white sliced"
"BRED:YPUD:YPDF","Yorkshire pudding, shop bought"
"BRED:YPUD:YPSS","Yorkshire Pudding, homemade"
"BSCT:BCHS:BRDS","Bread sticks"
