Food Code,Name,Food Category,Base Value,Sub Group Code,Validation Error,Validation Overridden,Description,Dilution,Max Weight,Comment,Edible Portion,Deleted Food Flag,Water,Estimate,Total nitrogen,Estimate,Nitrogen conversion factor,Estimate,Protein,Estimate,Fat,Estimate,Carbohydrate,Estimate,Energy (kcal),Estimate,Energy (kJ),Estimate,Alcohol,Estimate,Englyst fibre,Estimate,Southgate fibre,Estimate,Starch,Estimate,Total sugars,Estimate,Non-milk extrinsic sugars,Estimate,Intrinsic and milk sugars,Estimate,Glucose,Estimate,Fructose,Estimate,Sucrose,Estimate,Maltose,Estimate,Lactose,Estimate,Other sugars,Estimate,Satd FA,Estimate,Cis-Mon FA,Estimate,Cis-n3 FA,Estimate,Cis-n6 FA,Estimate,Trans FA,Estimate,Cholesterol,Estimate,Retinol,Estimate,Total carotene,Estimate,Alpha-carotene,Estimate,Beta-carotene,Estimate,Beta cryptoxanthin,Estimate,Vitamin A,Estimate,Vitamin D,Estimate,Thiamin,Estimate,Riboflavin,Estimate,Niacin,Estimate,Tryptophan/60,Estimate,Niacin equivalent,Estimate,Vitamin C,Estimate,Vitamin E,Estimate,Vitamin B6,Estimate,Vitamin B12,Estimate,Folate,Estimate,Pantothenic acid,Estimate,Biotin,Estimate,Sodium,Estimate,Potassium,Estimate,Calcium,Estimate,Magnesium,Estimate,Phosphorus,Estimate,Iron,Estimate,Haem iron,Estimate,Non-haem iron,Estimate,Copper,Estimate,Zinc,Estimate,Chloride,Estimate,Iodine,Estimate,Manganese,Estimate,Selenium,Estimate
1,ARROWROOT POWDER,F,100,1R,FALSE,FALSE,,1,1,,1,FALSE,12.2,,0.1,,5.7,,0.4,,0.1,,94,,355,,1515,,0,,0.1,,0.1,Yes,94,,0,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0.02,Yes,0.03,Yes,0,Yes,0.05,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Yes,0,,0,,0.1,,0.1,,0,,0,,0,Yes,0,,0,,0,Yes,0,Yes,5,,18,,7,,8,,27,,2,,0,,2,,0.22,,0,Yes,7,,3,Yes,0.47,,1,Yes
2,PEARL BARLEY WHITE DRIED,F,100,1R,FALSE,FALSE,,1,1,,1,FALSE,10.6,,1.4,,5.83,,7.9,,1.7,,83.6,,360,,1535,,0,,10.2,,5.9,,83.6,,0,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0.29,,0.14,,0.07,,0.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.12,,0.05,,2.5,,2.3,,4.8,,0,,0.4,,0.2,,0,,20,,0.5,,0,Yes,3,,270,,20,,65,,210,,3,,0,,3,,0.4,,2.1,,110,,7,Yes,1.3,,1,
3,BARLEY PEARL WHITE BOILED IN WATER,F,100,1R,FALSE,FALSE,,1,200,,1,FALSE,69.6,,0.5,,5.83,,2.7,,0.6,,27.6,,120,,510,,0,,3.5,,2,,27.6,,0,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0.1,,0.05,,0.03,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.02,,0.01,,0.5,,0.8,,1.3,,0,,0.1,Yes,0,,0,,3,,0.1,,0,,1,,92,,7,,22,,71,,1,,0,,1,,0.14,,0.7,,41,,2,Yes,0.44,,0,
4,BARLEY WHOLE GRAIN DRIED,F,100,1R,FALSE,FALSE,,1,1,,1,FALSE,11.7,,1.8,,5.83,,10.6,,2.1,,64,,301,,1282,,0,,14.8,,5.8,,62.2,,1.8,,0,,1.8,,0.1,,0.1,,1,,0.5,,0,,0,,0.53,,0.25,,0.11,,1.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.31,,0.1,,5.2,,2.6,,7.8,,0,,0.9,,0.6,,0,,50,,0.7,,10,,4,,560,,50,,91,,380,,6,,0,,6,,0.3,,3.3,,23,,7,,1.7,,1,Yes
5,BARLEY WHOLEGRAIN BOILED IN WATER,F,100,1R,FALSE,FALSE,,1,200,,1,FALSE,58.5,,0.6,,5.83,,3.5,,0.7,,21.3,,100,,426,,0,,4.9,,1.9,,20.7,,0.6,,0,,0.6,,0,,0,,0.3,,0.2,,0,,0,,0.18,,0.08,,0.04,,0.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.1,,0.03,,1.4,Yes,1.2,Yes,2.6,,0,,0.3,,0.2,,0,,17,,0.2,,3,,1,,187,,17,,30,,127,,2,,0,,2,,0.1,,1.1,,8,,2,,0.57,,0,
6,WHEATGERM,F,100,1R,FALSE,TRUE,,1,30,"mw6 15
updated 20/04/05.  Updated for NDNS rolling programme using flours and grains analytical data, sample 54.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF",1,FALSE,9.1,,4.7,,5.83,,27.3,,8.4,,30.7,,300,,1266,,0,,11.6,,8.1,,20,,10.6,,0,,10.6,,0.2,,0,,10.4,,0,,0,,0,,1.13,,0.82,,0.51,,3.58,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,1.8,,0.63,,6.7,,6,,12.7,,0,,16.2,,2.6,,0,,227,,2.6,,23,,3,,1045,,45,,240,,1047,,8.1,,0,,8.1,,0.82,,14,,107,,0,,13.5,,18,
7,BRAN WHEAT,F,100,1R,FALSE,TRUE,,1,30,"Updated for NDNS rolling programme using flours and grains analytical data, sample 53.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF",1,FALSE,10.4,,2.4,,6.31,,14.8,,2.9,,20.6,,163,,689,,0,,33,,39.6,,18.3,,2.3,,0,,2.3,,0,,0,,2.3,,0,,0,,0,,0.47,,0.39,,0.11,,1.39,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0.93,,0.33,,26.1,,5.9,,32,,0,,1,,1.2,,0,,76,,2.5,,32,,3,,1269,,65,,389,,1078,,8.6,,0,,8.6,,1.04,,5.6,,95,,0,Yes,5.85,,14,
8,CORNFLOUR,F,100,1R,FALSE,FALSE,,1,1,"mw6 4
updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 47.  NK 24/1/07
Southgate field contains AOAC data DP 17/11/11
",1,FALSE,11,,0,,6.25,,0.2,,0.7,,99,,378,,1613,,0,,0.6,,0,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.12,,0.05,,0.04,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.02,,0,,0,,0.1,,0.1,,0,,0,,0,,0,,2,,0,,0,,11,,3,,2,,2,,17,,0.1,,0,,0.1,,0,,0,,30,,0,,0.01,,0,
9,CORNMEAL SIFTED DRY,F,100,1R,FALSE,FALSE,,1,1,,1,FALSE,12.2,,1.5,,6.25,,9.4,,3.3,,80.4,,369,,1568,,0,,2.2,,4.4,,80.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.53,,1.27,,0.05,,1.24,,0,,0,,0,,24,,0,,5,,38,,4,,0,,0.26,,0.08,,1,,1,,2,,3,,0,,0.4,,0,,1,,0.7,,6,,0,,170,,3,,44,,120,,1.3,,0,,1.3,,0.15,,1,,12,,3,,0.2,,12,
10,CORN MEAL UNSIFTED DRIED,F,100,1R,FALSE,FALSE,,1,1,,1,FALSE,12.2,,1.5,,6.25,,9.3,,3.8,,80.4,,373,,1585,,0,,4.3,,8.5,,80.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.61,,1.46,,0.06,,1.43,,0,,0,,0,,24,,0,,5,,38,,4,,0,,0.3,,0.08,,1.8,,1,,2.8,,3,,0,,0.4,,0,,1,,0.7,,6,,1,,280,,17,,44,,220,,4.2,,0,,4.2,,0.15,,1,,12,,3,,0.2,,16,Yes
